Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
"22894029804,""Saia Longa Feminina com Fenda Frontal, Cintura Alta, Bolsos e Cinto  Elegante e Moderna"",""59,90"",2mil+,FERNANDA QUEIROZ MODA FEMININA,19%,""R$11,38"",https://shopee.com.br/product/1440678545/22894029804,https://s.shopee.com.br/70GCIEzQ67"
"58252176292,Conjunto Assimétrico Feminino Alfaiataria Blusa Franzida e Calça Pantalona Social Elegante Look Moda Mulher Verão,""69,80"",431,Lanour MODA,19%,""R$13,26"",https://shopee.com.br/product/1491044633/58252176292,https://s.shopee.com.br/7VCSt9xW5E"
"41978571185,Macaquinho com Alça Bicolor Fitness Feminino Poliamida Premium  | Academia Treino Yoga | P ao GG,""65,80"",664,BYP & CO - Moda Feminina,28%,""R$18,42"",https://shopee.com.br/product/417617573/41978571185,https://s.shopee.com.br/7Kt2gqy9QD"
"58251159781,""Short Feminino Fitness com Bolso Atletyca Academia, Corrida e Treino"",""39,90"",4mil+,Atletyca Oficial,21%,""R$8,38"",https://shopee.com.br/product/1379957406/58251159781,https://s.shopee.com.br/7ppJHlwFPK"
"22593855144,Calça Alfaiataria Feminina Cinto Cintura Alta Com Zíper Na Lateral,""39,92"",20mil+,Um Banho De Moda,10%,""R$3,99"",https://shopee.com.br/product/913580882/22593855144,https://s.shopee.com.br/7fVt5SwskJ"
"23494185142,CONJUNTO FEMININO COLETE E SHORT DE ALFAIATARIA DE VERÃO 2026,""49,99"",251,MODAS ALFRE,34%,""R$17,00"",https://shopee.com.br/product/1553995251/23494185142,https://s.shopee.com.br/2qQdKaFHYO"
"23094417104,Macacão Fitness Academia Poliamida Feminino Zero Transparencia 2,""99,00"",2mil+,101 fitness,16%,""R$15,84"",https://shopee.com.br/product/1547079616/23094417104,https://s.shopee.com.br/2g7D8HFutN"
"22593857616,Kit 3 Blusas Feminina Regata Decote Quadrado Reto Suplex Verão Basica Lisa Moda Elegante Tendencia Bolgueira,""57,00"",20mil+,Migles Vendas,13%,""R$7,41"",https://shopee.com.br/product/1045277594/22593857616,https://s.shopee.com.br/3B3TjCE0sU"
"23599260319,🔥KIT 15 pares de Meia feminina soquete menor preço direto da fabrica Algodão(kiT 6 a 15 pares),""19,50"",6mil+,Shop Achados Meias,14%,""R$2,73"",https://shopee.com.br/product/1058688207/23599260319,https://s.shopee.com.br/30k3WtEeDT"
"23099195827,Conjunto Alfaiataria Cropped Tomara que Caia Social  Feminino Calça Pantalona Blusa Elástico Lastex Botão Moda Mulher,""79,90"",262,Lanour MODA,16%,""R$12,78"",https://shopee.com.br/product/1491044633/23099195827,https://s.shopee.com.br/3VgK7oCkCa"
"23594364502,MACACÃO LONGO FEMININO ALÇA LUXO ELEGANTE PANTALONA PRIMAVERA VERÃO,""98,00"",311,Ateliê Aquarelle,10%,""R$9,80"",https://shopee.com.br/product/779265993/23594364502,https://s.shopee.com.br/3LMtvVDNXZ"
"21299705903,short linho forrado feminino short social linho barra italiana forrado do PP ao G2,""69,99"",10mil+,Zilli Style,16%,""R$11,20"",https://shopee.com.br/product/773974758/21299705903,https://s.shopee.com.br/3qJAWQBTWg"
"18898029890,Body Collant  Feminino Regata Blusa Decote Quadrado Com Forro  Estilo Blogueira,""28,80"",60mil+,Infinity Variedades10,24%,""R$6,91"",https://shopee.com.br/product/1442835896/18898029890,https://s.shopee.com.br/3fzkK7C6rf"
"58252506475,Conjunto Feminino Uma Alça Social Duna Mulher Elegante Blusa Nula Manga Calça Pantalona Alfaiataria Moda Verão Promoção,""59,90"",543,Lanour MODA,16%,""R$9,58"",https://shopee.com.br/product/1491044633/58252506475,https://s.shopee.com.br/4Aw0v2ACqm"
"23794414763,Macacão Feminino Pantalona Largo Alcinha Decote V P M G GG Tecido Duna Elegante Lançamento Moda Mulher Verão,""49,90"",714,Lanour MODA,16%,""R$7,98"",https://shopee.com.br/product/1491044633/23794414763,https://s.shopee.com.br/40caijAqBl"
"41867353138,Kit Pijama Feminino 3 Peças Americano  Camisa Botões + Calça + Short Conforto Malha Amamentação,""89,90"",6mil+,Helemix,7%,""R$6,29"",https://shopee.com.br/product/694133465/41867353138,https://s.shopee.com.br/4VYrJe8wAs"
"15365732702,cinta modeladora feminina dupla sinta modeladora feminina emagrecedora cinta colete POSTAGEM RÁPIDA,""31,99"",40mil+,EusouMiguel,17%,""R$5,44"",https://shopee.com.br/product/378519055/15365732702,https://s.shopee.com.br/4LFR7L9ZVr"
"22398684024,Conjunto Feminino Social Duna Mulher Elegante Blusa Regata e Calça Pantalona Moda Mulher Verão Promoção,""59,90"",1mil+,Lanour MODA,16%,""R$9,58"",https://shopee.com.br/product/1491044633/22398684024,https://s.shopee.com.br/4qBhiG7fUy"
"23799255244,Macaquinho Feminino Crepe Estampado Lançamento Tendência Com Short Por Baixo Sem Bojo,""59,40"",181,use_degfashion,17%,""R$10,10"",https://shopee.com.br/product/547382414/23799255244,https://s.shopee.com.br/4fsHVx8Ipx"
"58250949898,Kit 3 T-Shirt Feminina Estampada Camiseta Cristã Fé 100% Algodão Envio Imediato,""69,99"",1mil+,T-Shirt Connect Shop,17%,""R$11,90"",https://shopee.com.br/product/1399296586/58250949898,https://s.shopee.com.br/5AoY6s6Op4"
"58255705503,Cinta Modeladora de Barriga/Abdominal E Redutora Exercícios para Academia com Redução De Medidas para Cintura Fina,""24,99"",191,chenbazar,12%,""R$3,00"",https://shopee.com.br/product/383213467/58255705503,https://s.shopee.com.br/50V7uZ72A3"
"22294455727,Conjunto Feminino Afaiataria Calça e Blusa TECIDO PREMIUM,""69,90"",618,R C MODA FEMININA,7%,""R$4,89"",https://shopee.com.br/product/1264622325/22294455727,https://s.shopee.com.br/BPs9gPQy8"
"54206657263,MACAQUINHO TIRAS BICOLOR ALÇA FINA SUPLEX POWER TREINO ACADEMIA FITNESS,""27,90"",3mil+,JL BRANDÃO,10%,""R$2,79"",https://shopee.com.br/product/576134566/54206657263,https://s.shopee.com.br/16RxNQ4J7"
"22293819530,""Vestido Longo Com FORO e BOJO, Feminino Com manga Variados super confortáveis e leves qualidade e durabilidade"",""73,99"",1mil+,villcamodaoficial,23%,""R$17,02"",https://shopee.com.br/product/1463484615/22293819530,https://s.shopee.com.br/W2iYIOAIE"
"23398358852,Casaco Xadrez Cardigan Tricot Lã Max Kimono de Frio Manga Longa Tendência Moda Inverno Elegante,""62,99"",1mil+,bellalatricot,23%,""R$14,49"",https://shopee.com.br/product/1506281926/23398358852,https://s.shopee.com.br/LjILzOndD"
"22593686839,Conjunto Feminino Crepe Duna Premium Frente Única Estilo Vestido Macaquinho  Soltinho Com Decote nas Costa Tendência,""58,80"",419,USE FIRST,14%,""R$8,23"",https://shopee.com.br/product/1156336592/22593686839,https://s.shopee.com.br/qfYwuMtcK"
"22498862856,Saia Longa Feminina Alfaiataria com Bolso Cintura Alta  Moda Evangélica,""59,40"",1mil+,CHIPANA-FASHION,""18,23%"",""R$10,69"",https://shopee.com.br/product/905229815/22498862856,https://s.shopee.com.br/gM8kbNWxJ"
"22098837990,Legging Feminina Fitness 3D Cintura Alta | Compressão e Conforto | Academia e Corrida,""29,90"",1mil+,GIT MODA MIX,15%,""R$4,49"",https://shopee.com.br/product/1042028053/22098837990,https://s.shopee.com.br/1BIPLWLcwQ"
"22397185840,Pijama Feminino Americano  Longo Pós Cirúrgico Amamentação Inverno Stitch Estapas listra Rosa,""68,99"",3mil+,DakiDaí Store,16%,""R$11,04"",https://shopee.com.br/product/611123146/22397185840,https://s.shopee.com.br/10yz9DMGHP"
"22197729265,Conjunto Duas Peças Alfaiataria Juliana,""59,30"",1mil+,MODA FEMININA BRÁS,16%,""R$9,49"",https://shopee.com.br/product/369435098/22197729265,https://s.shopee.com.br/1VvFk8KMGW"
"40128689556,Lovito Vestido Elegante com Cinto Camadas Duplas Primavera/verão Verde para Mulheres LBL33124,""69,50"",33,Lovito Loja Oficial,7%,""R$4,87"",https://shopee.com.br/product/426378412/40128689556,https://s.shopee.com.br/1LbpXpKzbV"
"23498880613,Macaquinho Feminino Canelado Curto Anarruga Ajustado Roupa Feminina Estilosa,""26,95"",20mil+,Brawas Modas,17%,""R$4,58"",https://shopee.com.br/product/1606133140/23498880613,https://s.shopee.com.br/1qY68kJ5ac"
"23294043900,Calça Pantalona FORRADA DUNA Feminina Cintura Alta Com Bolso Tecido Fresco,""29,99"",10mil+,Julinha Modas,11%,""R$3,30"",https://shopee.com.br/product/475740331/23294043900,https://s.shopee.com.br/1gEfwRJivb"
"22697618530,Conjunto Moletom Feminino Blusa manga longa Flanelado liso  cropped+ calça pantalona conjunto feminino de frio,""87,90"",4mil+,matosmoda.stores,11%,""R$9,67"",https://shopee.com.br/product/1291593373/22697618530,https://s.shopee.com.br/2BAwXMHoui"
"22598347134,Vestido Longo Modelo Todo Em Duna Decote Botões Com Cinto,""89,00"",921,Nany Modas e Acessórios,17%,""R$15,13"",https://shopee.com.br/product/490378200/22598347134,https://s.shopee.com.br/20rWL3ISFh"
"21199191075,Jaqueta Casaco de Lã Batida Sobretudo de Inverno oPelos Removivel Parka 6 Botões,""229,00"",4mil+,Stellar Closet,13%,""R$29,77"",https://shopee.com.br/product/438648795/21199191075,https://s.shopee.com.br/2VnmvyGYEo"
"58256053530,Short Alfaiataria Feminino Social Com Cinto Cintura Alta PROMOÇAO,""21,80"",2mil+,MOÇA FAMOSA,17%,""R$3,71"",https://shopee.com.br/product/1613326394/58256053530,https://s.shopee.com.br/2LUMjfHBZn"
"56254410748,Conjunto Feminino Liz Calça Pantalona + Blusinha Top Amarração Look Versátil Moda Verão,""49,90"",6mil+,Gringa Moda Fashion,16%,""R$7,98"",https://shopee.com.br/product/1281632409/56254410748,https://s.shopee.com.br/808jU4vc4u"
"42004432835,Short Doll Renda Bicolor Pijama Baby e Blusinha em Suede Confortavel e Fresquinho,""36,98"",10mil+,DUCA LINGERIE,3%,""R$1,11"",https://shopee.com.br/product/1391450972/42004432835,https://s.shopee.com.br/8AS9gNuyjx"
"23496911809,Camisa Social Feminina Manga Longa Com Bolso Viscolinho Botões | Elegante e Fresquinha para Trabalho,""73,50"",10mil+,lookbyso,27%,""R$19,85"",https://shopee.com.br/product/1077665316/23496911809,https://s.shopee.com.br/8KlZsguLP0"
"46604335707,Kit com 10 ou 5 Calcinhas Fio Dental Duplo Empina Bumbum Conforto Sensual Levanta Bumbum,""42,90"",5mil+,BellaFlorOficial,16%,""R$6,86"",https://shopee.com.br/product/487444734/46604335707,https://s.shopee.com.br/8V504zti43"
"18398042738,Conjunto de Saia Feminino Fenda Frontal com cropped de Elastex Tecido Duna Linho Verão,""124,99"",466,BellaG.Fashion,15%,""R$18,75"",https://shopee.com.br/product/1261429489/18398042738,https://s.shopee.com.br/8fOQHIt4j6"
"58203829372,Jaqueta Puffer Feminina Peluciada Lançamento 2026,""159,00"",239,Versath.oficial,15%,""R$23,85"",https://shopee.com.br/product/1507348752/58203829372,https://s.shopee.com.br/8phqTbsRO9"
"28510080063,Lovito Blusa Casual Com Estampa Em Formato De Coração Para Mulheres LNL72073,""55,66"",3mil+,Lovito Loja Oficial,13%,""R$7,24"",https://shopee.com.br/product/426378412/28510080063,https://s.shopee.com.br/901Gfuro3C"
"23298464112,SAIA FEMININA COURO MIDI ENVELOPE AMARRAÇÃO + MODA SOCIAL,""75,58"",1mil+,SOPHIA CLOSET,18%,""R$13,60"",https://shopee.com.br/product/782379815/23298464112,https://s.shopee.com.br/9AKgsDrAiF"
"23094252265,CONJUNTO GABI. MODA FEMENINA COLETE E CALÇA ALFAIATARIA,""78,96"",3mil+,MODAS BARBARA,19%,""R$15,00"",https://shopee.com.br/product/1388617340/23094252265,https://s.shopee.com.br/AADE4gkjyn"
"23298940654,Macaquinho Fitness Modelador Academia Crossfit Macacão Feminino Slim Suplex - Moda Gringa blogueira,""30,40"",2mil+,KELVIN ATACADÃO DA MODA WEAR,20%,""R$6,08"",https://shopee.com.br/product/1502928031/23298940654,https://s.shopee.com.br/AKWeGzk6dq"
